Frith Street, Soho@51.513103#-0.131213
Victoria Park Road, Hackney Central@51.536424#-0.054162
Baylis Road, Waterloo@51.501444#-0.110699
Hewison Street, Old Ford@51.533283#-0.028155
Brick Lane Market, Shoreditch@51.522617#-0.071653
Parsons Green Station, Parsons Green@51.475089#-0.201968
Jubilee Street, Stepney@51.515975#-0.053177
Imperial Wharf Station@51.474665#-0.183165
Falcon Road, Clapham Junction@51.466633#-0.169821
Richmond Way, Shepherd's Bush@51.500353#-0.217515
Sancroft Street, Vauxhall@51.489479#-0.115156
South Lambeth Road, Vauxhall@51.481747#-0.124642
Watney Street, Shadwell@51.511542#-0.056667
Antill Road, Mile End@51.528224#-0.037471
Clinton Road, Mile End@51.525941#-0.036017
Sadlers Sports Centre, Finsbury@51.524868#-0.099489
Strata, Elephant & Castle@51.493146#-0.099828
Northington Street , Holborn@51.522264#-0.114079
Shouldham Street, Marylebone@51.51809#-0.163609
Beaumont Street, Marylebone@51.522008#-0.151359
Pritchard's Road, Bethnal Green@51.532091#-0.06142
Furze Green, Bow@51.519265#-0.021345
Sandilands Road, Walham Green@51.473611#-0.191803
Limerston Street, West Chelsea@51.485587#-0.18119
Christian Street, Whitechapel@51.513074#-0.064094
Fulham Park Road, Fulham@51.473471#-0.20782
Kennington Road Post Office, Oval@51.484788#-0.110683
Roscoe Street, St. Luke's@51.522954#-0.094934
Lindfield Street, Poplar@51.513757#-0.020467
Osiers Road, Wandsworth@51.46067#-0.198735
Westbourne Park Road, Portobello@51.51787#-0.201005
Dunston Road , Haggerston@51.536585#-0.075885
Addison Road, Holland Park@51.504199#-0.210941
Shoreditch Park, Hoxton@51.534042#-0.086379
Heath Road, Battersea@51.468669#-0.146544
Windsor Terrace, Hoxton@51.529154#-0.093421
St. Peter's Terrace, Fulham@51.478939#-0.208485
St. Chad's Street, King's Cross@51.530059#-0.120973
Cadogan Close, Victoria Park@51.542118#-0.028941
Reardon Street, Wapping@51.506946#-0.058681
Wapping Lane, Wapping@51.504749#-0.057544
Greyhound Road, Hammersmith@51.486062#-0.214428
Chesilton Road, Fulham@51.475698#-0.205876
Mostyn Grove, Bow@51.530535#-0.025492
Finsbury Library , Finsbury@51.526717#-0.104298
Queen Mother Sports Centre, Victoria@51.493573#-0.139956
Cheshire Street, Bethnal Green@51.52388#-0.065076
Bethnal Green Garden, Bethnal Green@51.52568#-0.055312
Greenland Road, Camden Town@51.539099#-0.141728
Cephas Street, Bethnal Green@51.522561#-0.054883
Burdett Road, Mile End@51.516196#-0.029138
Bishop's Bridge Road West, Bayswater@51.51616#-0.18697
Tachbrook Street, Victoria@51.492111#-0.138364
Culvert Road, Battersea@51.471095#-0.15785
Sedding Street, Sloane Square@51.49313#-0.156876
Queensbridge Road, Haggerston@51.53385#-0.06992
